uuid,title,capacity
a51cb541-3d3c-4107-a37f-1e5df995e8c4,Spoken Word,15
fefe6866-9d55-4749-b8b7-37e4e628214d,Batiken,20
887d6264-37bd-4fef-977a-f01acc595254,Gefühlchaos und Handlungskompetenzen,20
633391a0-8b9d-4abf-a709-a5e3aab54884,Selbstverteidigung,20
ce1dab54-8f03-4750-baa9-05749a8b31fd,HipHop Tanzworkshop,40
ab352475-cbab-41ca-9b9c-d26f847d58de,Graffiti,10
c00d9922-305f-47ea-895f-df880ac17e3d,Schauspiel,12
271b5c68-3f31-41e8-9b7d-b2b6d42e042c,Social Media,18
1d88356e-1f71-407b-b65e-0a72019dcd66,JuHu – Challenge,20
3a37abc2-89e8-46b7-bb27-e7af8496f181,Spiel & Spaß Olympiade,40
ec851c6e-8374-49b7-9a05-6461829ad78b,Mini Quiz-Show,40
3ef8a791-576f-48cd-b45d-3e73d3eae61d,Bloom it yourself - kreatives Nähen von Hand,15
0cd6c104-e56e-4757-addc-10b9874137d7,Ultimate Frisbee,20
