title,maximale_plaetze,ext_id,status
Spoken Word,15,spoken-word,1
Batiken,20,batiken,1
Gefühlchaos und Handlungskompetenzen,20,gefuhlchaos-und-handlungskompetenzen,1
Selbstverteidigung,20,selbstverteidigung,1
HipHop Tanzworkshop,40,hiphop-tanzworkshop,1
Graffiti,10,graffiti,1
Schauspiel,12,schauspiel,1
Social Media,18,social-media,1
JuHu – Challenge,20,juhu-challenge,1
Spiel & Spaß Olympiade,40,spiel-spa-olympiade,1
Mini Quiz-Show,40,mini-quiz-show,1
Bloom it yourself - kreatives Nähen von Hand,15,bloom-it-yourself-kreatives-nahen-von-hand,1
Ultimate Frisbee,20,ultimate-frisbee,1
