code,wunsch1,wunsch2,wunsch3,wunsch4,wunsch5
CODE001,Schauspiel,HipHop Tanzworkshop,Ultimate Frisbee,Graffiti,Social Media
CODE002,Gefühlchaos und Handlungskompetenzen,Spoken Word,Graffiti,Bloom it yourself - kreatives Nähen von Hand,Spiel & Spaß Olympiade
CODE003,Bloom it yourself - kreatives Nähen von Hand,JuHu – Challenge,Selbstverteidigung,Schauspiel,Spoken Word
CODE004,HipHop Tanzworkshop,Schauspiel,JuHu – Challenge,Bloom it yourself - kreatives Nähen von Hand,Mini Quiz-Show
CODE005,JuHu – Challenge,Graffiti,Spiel & Spaß Olympiade,Bloom it yourself - kreatives Nähen von Hand,Selbstverteidigung
CODE006,Mini Quiz-Show,Batiken,Bloom it yourself - kreatives Nähen von Hand,HipHop Tanzworkshop,JuHu – Challenge
CODE007,Graffiti,Batiken,HipHop Tanzworkshop,JuHu – Challenge,Spoken Word
CODE008,Bloom it yourself - kreatives Nähen von Hand,HipHop Tanzworkshop,Schauspiel,JuHu – Challenge,Ultimate Frisbee
CODE009,HipHop Tanzworkshop,Graffiti,Ultimate Frisbee,Mini Quiz-Show,Social Media
CODE010,JuHu – Challenge,Selbstverteidigung,Bloom it yourself - kreatives Nähen von Hand,Spoken Word,Schauspiel
CODE011,Batiken,Spoken Word,Gefühlchaos und Handlungskompetenzen,Spiel & Spaß Olympiade,Selbstverteidigung
CODE012,Ultimate Frisbee,Mini Quiz-Show,HipHop Tanzworkshop,Schauspiel,Bloom it yourself - kreatives Nähen von Hand
CODE013,Ultimate Frisbee,Gefühlchaos und Handlungskompetenzen,Selbstverteidigung,Social Media,Mini Quiz-Show
CODE014,HipHop Tanzworkshop,Schauspiel,JuHu – Challenge,Graffiti,Gefühlchaos und Handlungskompetenzen
CODE015,Spoken Word,Spiel & Spaß Olympiade,Mini Quiz-Show,Selbstverteidigung,Bloom it yourself - kreatives Nähen von Hand
CODE016,Gefühlchaos und Handlungskompetenzen,Spiel & Spaß Olympiade,Selbstverteidigung,Social Media,Mini Quiz-Show
CODE017,Spiel & Spaß Olympiade,Spoken Word,HipHop Tanzworkshop,Graffiti,Schauspiel
CODE018,HipHop Tanzworkshop,Gefühlchaos und Handlungskompetenzen,Batiken,Ultimate Frisbee,Social Media
CODE019,Mini Quiz-Show,JuHu – Challenge,Graffiti,Batiken,Spiel & Spaß Olympiade
CODE020,Social Media,Bloom it yourself - kreatives Nähen von Hand,Selbstverteidigung,Spoken Word,Ultimate Frisbee
CODE021,Spiel & Spaß Olympiade,Social Media,Graffiti,Mini Quiz-Show,Bloom it yourself - kreatives Nähen von Hand
CODE022,Spiel & Spaß Olympiade,JuHu – Challenge,Social Media,Schauspiel,Bloom it yourself - kreatives Nähen von Hand
CODE023,Social Media,Ultimate Frisbee,Bloom it yourself - kreatives Nähen von Hand,Spoken Word,Schauspiel
CODE024,Social Media,Mini Quiz-Show,Spoken Word,Ultimate Frisbee,Bloom it yourself - kreatives Nähen von Hand
CODE025,Mini Quiz-Show,Selbstverteidigung,Batiken,Bloom it yourself - kreatives Nähen von Hand,Gefühlchaos und Handlungskompetenzen
CODE026,Batiken,Bloom it yourself - kreatives Nähen von Hand,HipHop Tanzworkshop,Schauspiel,Spoken Word
CODE027,Graffiti,Ultimate Frisbee,Spoken Word,Schauspiel,Spiel & Spaß Olympiade
CODE028,Gefühlchaos und Handlungskompetenzen,Graffiti,Schauspiel,Social Media,HipHop Tanzworkshop
CODE029,Schauspiel,Selbstverteidigung,Spoken Word,Bloom it yourself - kreatives Nähen von Hand,Mini Quiz-Show
CODE030,Mini Quiz-Show,Gefühlchaos und Handlungskompetenzen,Bloom it yourself - kreatives Nähen von Hand,Graffiti,Selbstverteidigung
CODE031,Selbstverteidigung,JuHu – Challenge,Batiken,Schauspiel,Social Media
CODE032,Spiel & Spaß Olympiade,HipHop Tanzworkshop,JuHu – Challenge,Graffiti,Batiken
CODE033,Bloom it yourself - kreatives Nähen von Hand,Ultimate Frisbee,Schauspiel,Gefühlchaos und Handlungskompetenzen,Spoken Word
CODE034,Selbstverteidigung,Bloom it yourself - kreatives Nähen von Hand,HipHop Tanzworkshop,Spoken Word,JuHu – Challenge
CODE035,Graffiti,Gefühlchaos und Handlungskompetenzen,Spiel & Spaß Olympiade,Social Media,Mini Quiz-Show
CODE036,Selbstverteidigung,Schauspiel,Ultimate Frisbee,Spoken Word,HipHop Tanzworkshop
CODE037,HipHop Tanzworkshop,Spiel & Spaß Olympiade,Gefühlchaos und Handlungskompetenzen,Mini Quiz-Show,Social Media
CODE038,Ultimate Frisbee,Spiel & Spaß Olympiade,HipHop Tanzworkshop,Graffiti,Schauspiel
CODE039,Social Media,Graffiti,Schauspiel,Bloom it yourself - kreatives Nähen von Hand,HipHop Tanzworkshop
