code,w1,w2,w3
CODE001,Spoken Word,JuHu – Challenge,Schauspiel
CODE002,Spoken Word,Schauspiel,JuHu – Challenge
CODE003,Spoken Word,Spiel & Spaß Olympiade,Bloom it yourself - kreatives Nähen von Hand
CODE004,Spoken Word,Ultimate Frisbee,Spiel & Spaß Olympiade
CODE005,Spoken Word,Ultimate Frisbee,Batiken
CODE006,Spoken Word,JuHu – Challenge,Selbstverteidigung
CODE007,Spoken Word,Social Media,HipHop Tanzworkshop
CODE008,Spoken Word,Batiken,Bloom it yourself - kreatives Nähen von Hand
CODE009,Spoken Word,Bloom it yourself - kreatives Nähen von Hand,Graffiti
CODE010,Spoken Word,Batiken,Schauspiel
CODE011,Spoken Word,Gefühlchaos und Handlungskompetenzen,JuHu – Challenge
CODE012,Spoken Word,Spiel & Spaß Olympiade,Batiken
CODE013,Spoken Word,JuHu – Challenge,Social Media
CODE014,Spoken Word,Bloom it yourself - kreatives Nähen von Hand,HipHop Tanzworkshop
CODE015,Spoken Word,Social Media,Graffiti
CODE016,Spoken Word,Selbstverteidigung,Social Media
CODE017,Spoken Word,Batiken,HipHop Tanzworkshop
CODE018,Spoken Word,Social Media,Mini Quiz-Show
CODE019,Spoken Word,Social Media,Bloom it yourself - kreatives Nähen von Hand
CODE020,Spoken Word,Mini Quiz-Show,Gefühlchaos und Handlungskompetenzen
CODE021,Spoken Word,Spiel & Spaß Olympiade,Batiken
CODE022,Spoken Word,HipHop Tanzworkshop,JuHu – Challenge
CODE023,Spoken Word,Ultimate Frisbee,Schauspiel
CODE024,Spoken Word,Mini Quiz-Show,Selbstverteidigung
CODE025,Spoken Word,JuHu – Challenge,Graffiti
CODE026,Spoken Word,Mini Quiz-Show,Schauspiel
CODE027,Spoken Word,HipHop Tanzworkshop,Spiel & Spaß Olympiade
CODE028,Spoken Word,JuHu – Challenge,Selbstverteidigung
CODE029,Spoken Word,JuHu – Challenge,Batiken
CODE030,Spoken Word,HipHop Tanzworkshop,Schauspiel
CODE031,Spoken Word,Social Media,Ultimate Frisbee
CODE032,Spoken Word,Social Media,Mini Quiz-Show
CODE033,Spoken Word,Social Media,Gefühlchaos und Handlungskompetenzen
CODE034,Spoken Word,Mini Quiz-Show,Ultimate Frisbee
CODE035,Spoken Word,Social Media,Schauspiel
CODE036,Spoken Word,HipHop Tanzworkshop,Selbstverteidigung
CODE037,Spoken Word,Social Media,Schauspiel
CODE038,Spoken Word,JuHu – Challenge,Bloom it yourself - kreatives Nähen von Hand
CODE039,Spoken Word,Social Media,Ultimate Frisbee
CODE040,Spoken Word,JuHu – Challenge,HipHop Tanzworkshop
CODE041,Spoken Word,Spiel & Spaß Olympiade,Graffiti
CODE042,Spoken Word,Ultimate Frisbee,Gefühlchaos und Handlungskompetenzen
CODE043,Spoken Word,Batiken,Ultimate Frisbee
CODE044,Spoken Word,Mini Quiz-Show,Batiken
CODE045,Spoken Word,Batiken,Bloom it yourself - kreatives Nähen von Hand
CODE046,Spoken Word,HipHop Tanzworkshop,Spiel & Spaß Olympiade
CODE047,Spoken Word,Bloom it yourself - kreatives Nähen von Hand,Schauspiel
CODE048,Spoken Word,Spiel & Spaß Olympiade,Graffiti
CODE049,Spoken Word,Ultimate Frisbee,Schauspiel
CODE050,Spoken Word,Schauspiel,Batiken
CODE051,Spoken Word,Mini Quiz-Show,Spiel & Spaß Olympiade
CODE052,Spoken Word,Graffiti,Batiken
CODE053,Spoken Word,Schauspiel,JuHu – Challenge
CODE054,Spoken Word,Schauspiel,Social Media
CODE055,Spoken Word,Spiel & Spaß Olympiade,HipHop Tanzworkshop
CODE056,Spoken Word,Graffiti,Schauspiel
CODE057,Spoken Word,Ultimate Frisbee,Mini Quiz-Show
CODE058,Spoken Word,Gefühlchaos und Handlungskompetenzen,Selbstverteidigung
CODE059,Spoken Word,Graffiti,JuHu – Challenge
CODE060,Spoken Word,HipHop Tanzworkshop,Social Media
CODE061,Spoken Word,JuHu – Challenge,Spiel & Spaß Olympiade
CODE062,Spoken Word,HipHop Tanzworkshop,Mini Quiz-Show
CODE063,Spoken Word,Batiken,Mini Quiz-Show
CODE064,Spoken Word,HipHop Tanzworkshop,Spiel & Spaß Olympiade
CODE065,Spoken Word,Graffiti,Spiel & Spaß Olympiade
CODE066,Spoken Word,HipHop Tanzworkshop,Selbstverteidigung
CODE067,Spoken Word,Gefühlchaos und Handlungskompetenzen,Selbstverteidigung
CODE068,Spoken Word,Batiken,Gefühlchaos und Handlungskompetenzen
CODE069,Spoken Word,HipHop Tanzworkshop,Graffiti
CODE070,Spoken Word,Batiken,Social Media
CODE071,Spoken Word,JuHu – Challenge,Mini Quiz-Show
CODE072,Spoken Word,Schauspiel,HipHop Tanzworkshop
CODE073,Spoken Word,Bloom it yourself - kreatives Nähen von Hand,Mini Quiz-Show
CODE074,Spoken Word,Ultimate Frisbee,Schauspiel
CODE075,Spoken Word,Graffiti,Batiken
CODE076,Spoken Word,Spiel & Spaß Olympiade,Selbstverteidigung
CODE077,Spoken Word,Schauspiel,Graffiti
CODE078,Spoken Word,Selbstverteidigung,Batiken
CODE079,Spoken Word,Schauspiel,Ultimate Frisbee
CODE080,Spoken Word,Mini Quiz-Show,Batiken
CODE081,Spoken Word,HipHop Tanzworkshop,JuHu – Challenge
CODE082,Spoken Word,Bloom it yourself - kreatives Nähen von Hand,Schauspiel
CODE083,Spoken Word,Graffiti,Spiel & Spaß Olympiade
CODE084,Spoken Word,Spiel & Spaß Olympiade,Schauspiel
CODE085,Spoken Word,Schauspiel,Graffiti
CODE086,Spoken Word,Mini Quiz-Show,Schauspiel
CODE087,Spoken Word,Ultimate Frisbee,Social Media
CODE088,Spoken Word,Batiken,HipHop Tanzworkshop
CODE089,Spoken Word,Mini Quiz-Show,Social Media
CODE090,Spoken Word,Mini Quiz-Show,Gefühlchaos und Handlungskompetenzen
CODE091,Spoken Word,Batiken,Bloom it yourself - kreatives Nähen von Hand
CODE092,Spoken Word,Selbstverteidigung,Mini Quiz-Show
CODE093,Spoken Word,JuHu – Challenge,Ultimate Frisbee
CODE094,Spoken Word,Spiel & Spaß Olympiade,Batiken
CODE095,Spoken Word,Gefühlchaos und Handlungskompetenzen,Graffiti
CODE096,Spoken Word,Selbstverteidigung,JuHu – Challenge
CODE097,Spoken Word,Mini Quiz-Show,JuHu – Challenge
CODE098,Spoken Word,JuHu – Challenge,Social Media
CODE099,Spoken Word,Gefühlchaos und Handlungskompetenzen,Social Media
CODE100,Spoken Word,Spiel & Spaß Olympiade,Ultimate Frisbee
CODE101,Spoken Word,Mini Quiz-Show,Bloom it yourself - kreatives Nähen von Hand
CODE102,Spoken Word,Ultimate Frisbee,HipHop Tanzworkshop
CODE103,Spoken Word,Spiel & Spaß Olympiade,Bloom it yourself - kreatives Nähen von Hand
CODE104,Spoken Word,Batiken,Mini Quiz-Show
CODE105,Spoken Word,Gefühlchaos und Handlungskompetenzen,Ultimate Frisbee
CODE106,Spoken Word,Gefühlchaos und Handlungskompetenzen,Graffiti
CODE107,Spoken Word,Selbstverteidigung,Mini Quiz-Show
CODE108,Spoken Word,Social Media,Selbstverteidigung
CODE109,Spoken Word,Batiken,Selbstverteidigung
CODE110,Spoken Word,Schauspiel,Spiel & Spaß Olympiade
CODE111,Spoken Word,Spiel & Spaß Olympiade,Gefühlchaos und Handlungskompetenzen
CODE112,Spoken Word,Selbstverteidigung,Social Media
CODE113,Spoken Word,Bloom it yourself - kreatives Nähen von Hand,Spiel & Spaß Olympiade
CODE114,Spoken Word,HipHop Tanzworkshop,Schauspiel
CODE115,Spoken Word,Graffiti,JuHu – Challenge
CODE116,Spoken Word,Schauspiel,HipHop Tanzworkshop
CODE117,Spoken Word,Ultimate Frisbee,Selbstverteidigung
CODE118,Spoken Word,HipHop Tanzworkshop,Schauspiel
CODE119,Spoken Word,Batiken,Social Media
CODE120,Spoken Word,Batiken,Graffiti
CODE121,Spoken Word,Batiken,HipHop Tanzworkshop
CODE122,Spoken Word,HipHop Tanzworkshop,JuHu – Challenge
CODE123,Spoken Word,Graffiti,Ultimate Frisbee
CODE124,Spoken Word,Selbstverteidigung,Graffiti
CODE125,Spoken Word,Bloom it yourself - kreatives Nähen von Hand,Mini Quiz-Show
CODE126,Spoken Word,JuHu – Challenge,HipHop Tanzworkshop
CODE127,Spoken Word,Graffiti,Spiel & Spaß Olympiade
CODE128,Spoken Word,Bloom it yourself - kreatives Nähen von Hand,HipHop Tanzworkshop
CODE129,Spoken Word,Mini Quiz-Show,Schauspiel
CODE130,Spoken Word,Schauspiel,Selbstverteidigung
CODE131,Spoken Word,JuHu – Challenge,Gefühlchaos und Handlungskompetenzen
CODE132,Spoken Word,Schauspiel,JuHu – Challenge
CODE133,Spoken Word,Bloom it yourself - kreatives Nähen von Hand,Spiel & Spaß Olympiade
CODE134,Spoken Word,JuHu – Challenge,Mini Quiz-Show
CODE135,Spoken Word,Graffiti,Batiken
CODE136,Spoken Word,JuHu – Challenge,Graffiti
CODE137,Spoken Word,Bloom it yourself - kreatives Nähen von Hand,Mini Quiz-Show
CODE138,Spoken Word,Graffiti,Batiken
CODE139,Spoken Word,Schauspiel,HipHop Tanzworkshop
CODE140,Spoken Word,Selbstverteidigung,Social Media
CODE141,Spoken Word,Selbstverteidigung,Spiel & Spaß Olympiade
CODE142,Spoken Word,Social Media,JuHu – Challenge
CODE143,Spoken Word,HipHop Tanzworkshop,Gefühlchaos und Handlungskompetenzen
CODE144,Spoken Word,Bloom it yourself - kreatives Nähen von Hand,Batiken
CODE145,Spoken Word,JuHu – Challenge,Batiken
CODE146,Spoken Word,HipHop Tanzworkshop,Gefühlchaos und Handlungskompetenzen
CODE147,Spoken Word,Ultimate Frisbee,JuHu – Challenge
CODE148,Spoken Word,HipHop Tanzworkshop,JuHu – Challenge
CODE149,Spoken Word,Batiken,HipHop Tanzworkshop
