code,w1,w2,w3
CODE001,Selbstverteidigung,Spoken Word,Gefühlchaos und Handlungskompetenzen
CODE002,,,
CODE003,Spoken Word,JuHu – Challenge,Gefühlchaos und Handlungskompetenzen
CODE004,,,
CODE005,Social Media,Batiken,Spiel & Spaß Olympiade
CODE006,Batiken,Gefühlchaos und Handlungskompetenzen,Selbstverteidigung
CODE007,,,
CODE008,Batiken,Bloom it yourself - kreatives Nähen von Hand,HipHop Tanzworkshop
CODE009,Batiken,Spoken Word,Graffiti
CODE010,Ultimate Frisbee,Selbstverteidigung,JuHu – Challenge
CODE011,HipHop Tanzworkshop,Batiken,Schauspiel
CODE012,Selbstverteidigung,Spiel & Spaß Olympiade,Gefühlchaos und Handlungskompetenzen
CODE013,Gefühlchaos und Handlungskompetenzen,Spoken Word,HipHop Tanzworkshop
CODE014,Gefühlchaos und Handlungskompetenzen,Ultimate Frisbee,Mini Quiz-Show
CODE015,HipHop Tanzworkshop,Schauspiel,Social Media
CODE016,Selbstverteidigung,Bloom it yourself - kreatives Nähen von Hand,Batiken
CODE017,,,
CODE018,Ultimate Frisbee,Selbstverteidigung,Graffiti
CODE019,Mini Quiz-Show,Spoken Word,Ultimate Frisbee
CODE020,,,
CODE021,Spoken Word,Graffiti,Schauspiel
CODE022,,,
CODE023,,,
CODE024,,,
CODE025,Ultimate Frisbee,JuHu – Challenge,Schauspiel
CODE026,Selbstverteidigung,Ultimate Frisbee,Graffiti
CODE027,,,
CODE028,,,
CODE029,Ultimate Frisbee,Spiel & Spaß Olympiade,Batiken
CODE030,Spiel & Spaß Olympiade,HipHop Tanzworkshop,Mini Quiz-Show
CODE031,Spoken Word,Schauspiel,Spiel & Spaß Olympiade
CODE032,Batiken,Social Media,JuHu – Challenge
CODE033,Schauspiel,JuHu – Challenge,Ultimate Frisbee
CODE034,Spiel & Spaß Olympiade,Batiken,Spoken Word
CODE035,,,
CODE036,,,
CODE037,Spoken Word,Ultimate Frisbee,Spiel & Spaß Olympiade
CODE038,,,
CODE039,Gefühlchaos und Handlungskompetenzen,Bloom it yourself - kreatives Nähen von Hand,JuHu – Challenge
CODE040,Gefühlchaos und Handlungskompetenzen,Spoken Word,Bloom it yourself - kreatives Nähen von Hand
CODE041,Gefühlchaos und Handlungskompetenzen,Graffiti,JuHu – Challenge
CODE042,Ultimate Frisbee,Batiken,Schauspiel
CODE043,,,
CODE044,,,
CODE045,Social Media,Spiel & Spaß Olympiade,Bloom it yourself - kreatives Nähen von Hand
CODE046,,,
CODE047,Graffiti,Gefühlchaos und Handlungskompetenzen,Mini Quiz-Show
CODE048,Ultimate Frisbee,HipHop Tanzworkshop,JuHu – Challenge
CODE049,Spiel & Spaß Olympiade,Selbstverteidigung,JuHu – Challenge
CODE050,Spoken Word,HipHop Tanzworkshop,Bloom it yourself - kreatives Nähen von Hand
CODE051,,,
CODE052,,,
CODE053,HipHop Tanzworkshop,Graffiti,Spoken Word
CODE054,Ultimate Frisbee,Social Media,Spiel & Spaß Olympiade
CODE055,Mini Quiz-Show,Graffiti,Gefühlchaos und Handlungskompetenzen
CODE056,Batiken,Bloom it yourself - kreatives Nähen von Hand,Spiel & Spaß Olympiade
CODE057,Selbstverteidigung,Schauspiel,Graffiti
CODE058,Gefühlchaos und Handlungskompetenzen,Social Media,Selbstverteidigung
CODE059,Social Media,Bloom it yourself - kreatives Nähen von Hand,Schauspiel
CODE060,Gefühlchaos und Handlungskompetenzen,Graffiti,JuHu – Challenge
CODE061,Selbstverteidigung,Ultimate Frisbee,Spiel & Spaß Olympiade
CODE062,Mini Quiz-Show,Social Media,Spiel & Spaß Olympiade
CODE063,,,
CODE064,,,
CODE065,,,
CODE066,Selbstverteidigung,Spiel & Spaß Olympiade,Mini Quiz-Show
CODE067,JuHu – Challenge,Gefühlchaos und Handlungskompetenzen,HipHop Tanzworkshop
CODE068,Spiel & Spaß Olympiade,HipHop Tanzworkshop,Graffiti
CODE069,,,
CODE070,Gefühlchaos und Handlungskompetenzen,Selbstverteidigung,Mini Quiz-Show
CODE071,,,
CODE072,Schauspiel,Mini Quiz-Show,Selbstverteidigung
CODE073,Mini Quiz-Show,Gefühlchaos und Handlungskompetenzen,Spoken Word
CODE074,Batiken,HipHop Tanzworkshop,Spiel & Spaß Olympiade
CODE075,,,
CODE076,Mini Quiz-Show,Batiken,Bloom it yourself - kreatives Nähen von Hand
CODE077,,,
CODE078,,,
CODE079,Mini Quiz-Show,Schauspiel,JuHu – Challenge
CODE080,Social Media,Mini Quiz-Show,Spoken Word
CODE081,,,
CODE082,,,
CODE083,,,
CODE084,,,
CODE085,,,
CODE086,,,
CODE087,HipHop Tanzworkshop,JuHu – Challenge,Spoken Word
CODE088,JuHu – Challenge,Bloom it yourself - kreatives Nähen von Hand,Gefühlchaos und Handlungskompetenzen
CODE089,JuHu – Challenge,Social Media,HipHop Tanzworkshop
CODE090,Spiel & Spaß Olympiade,Graffiti,JuHu – Challenge
CODE091,,,
CODE092,Graffiti,JuHu – Challenge,HipHop Tanzworkshop
CODE093,,,
CODE094,Gefühlchaos und Handlungskompetenzen,Mini Quiz-Show,JuHu – Challenge
CODE095,JuHu – Challenge,Ultimate Frisbee,Spiel & Spaß Olympiade
CODE096,HipHop Tanzworkshop,Spiel & Spaß Olympiade,Spoken Word
CODE097,Bloom it yourself - kreatives Nähen von Hand,Batiken,Graffiti
CODE098,,,
CODE099,,,
CODE100,,,
CODE101,Social Media,Batiken,HipHop Tanzworkshop
CODE102,,,
CODE103,Social Media,Selbstverteidigung,Bloom it yourself - kreatives Nähen von Hand
CODE104,HipHop Tanzworkshop,Schauspiel,Mini Quiz-Show
CODE105,,,
CODE106,,,
CODE107,Spoken Word,JuHu – Challenge,Bloom it yourself - kreatives Nähen von Hand
CODE108,,,
CODE109,Mini Quiz-Show,Batiken,Bloom it yourself - kreatives Nähen von Hand
CODE110,Bloom it yourself - kreatives Nähen von Hand,Schauspiel,Graffiti
CODE111,,,
CODE112,,,
CODE113,,,
CODE114,Spiel & Spaß Olympiade,Selbstverteidigung,Schauspiel
CODE115,,,
CODE116,Spoken Word,Selbstverteidigung,Social Media
CODE117,Spoken Word,JuHu – Challenge,Selbstverteidigung
CODE118,,,
CODE119,JuHu – Challenge,Batiken,Schauspiel
CODE120,HipHop Tanzworkshop,Graffiti,Mini Quiz-Show
CODE121,Selbstverteidigung,Schauspiel,HipHop Tanzworkshop
CODE122,Spiel & Spaß Olympiade,Gefühlchaos und Handlungskompetenzen,HipHop Tanzworkshop
CODE123,,,
CODE124,,,
CODE125,Gefühlchaos und Handlungskompetenzen,Ultimate Frisbee,Mini Quiz-Show
CODE126,,,
CODE127,,,
CODE128,Schauspiel,Social Media,JuHu – Challenge
CODE129,HipHop Tanzworkshop,Selbstverteidigung,Graffiti
CODE130,Social Media,Schauspiel,Gefühlchaos und Handlungskompetenzen
CODE131,Social Media,JuHu – Challenge,Spiel & Spaß Olympiade
CODE132,,,
CODE133,Graffiti,Spiel & Spaß Olympiade,JuHu – Challenge
CODE134,,,
CODE135,Bloom it yourself - kreatives Nähen von Hand,Spoken Word,Graffiti
CODE136,Gefühlchaos und Handlungskompetenzen,Schauspiel,JuHu – Challenge
CODE137,Social Media,Batiken,Gefühlchaos und Handlungskompetenzen
CODE138,Gefühlchaos und Handlungskompetenzen,Bloom it yourself - kreatives Nähen von Hand,Ultimate Frisbee
CODE139,HipHop Tanzworkshop,Graffiti,JuHu – Challenge
CODE140,Spoken Word,Mini Quiz-Show,JuHu – Challenge
CODE141,Graffiti,Social Media,Gefühlchaos und Handlungskompetenzen
CODE142,,,
CODE143,,,
CODE144,,,
CODE145,Spoken Word,Mini Quiz-Show,Social Media
CODE146,Mini Quiz-Show,Graffiti,Social Media
CODE147,,,
CODE148,,,
CODE149,Schauspiel,Spiel & Spaß Olympiade,Social Media
CODE150,Spoken Word,Spiel & Spaß Olympiade,Gefühlchaos und Handlungskompetenzen
CODE151,Batiken,Mini Quiz-Show,Schauspiel
CODE152,Graffiti,HipHop Tanzworkshop,Schauspiel
CODE153,,,
CODE154,,,
CODE155,,,
CODE156,Mini Quiz-Show,Spiel & Spaß Olympiade,Bloom it yourself - kreatives Nähen von Hand
CODE157,Selbstverteidigung,Batiken,Social Media
CODE158,,,
CODE159,,,
CODE160,Schauspiel,Ultimate Frisbee,HipHop Tanzworkshop
CODE161,,,
CODE162,Graffiti,Schauspiel,Selbstverteidigung
CODE163,,,
CODE164,Spiel & Spaß Olympiade,Batiken,Spoken Word
CODE165,Selbstverteidigung,Bloom it yourself - kreatives Nähen von Hand,Social Media
CODE166,Selbstverteidigung,Ultimate Frisbee,Spoken Word
CODE167,,,
CODE168,Social Media,Mini Quiz-Show,Batiken
CODE169,Mini Quiz-Show,HipHop Tanzworkshop,Gefühlchaos und Handlungskompetenzen
CODE170,Social Media,Schauspiel,Graffiti
CODE171,Spoken Word,HipHop Tanzworkshop,Schauspiel
CODE172,Gefühlchaos und Handlungskompetenzen,Selbstverteidigung,JuHu – Challenge
CODE173,Gefühlchaos und Handlungskompetenzen,Spiel & Spaß Olympiade,Graffiti
CODE174,Batiken,JuHu – Challenge,HipHop Tanzworkshop
CODE175,Gefühlchaos und Handlungskompetenzen,Spiel & Spaß Olympiade,Selbstverteidigung
CODE176,,,
CODE177,Batiken,Graffiti,Ultimate Frisbee
CODE178,Gefühlchaos und Handlungskompetenzen,Social Media,HipHop Tanzworkshop
CODE179,Social Media,Selbstverteidigung,Spiel & Spaß Olympiade
