code,w1,w2,w3
CODE001,Spoken Word,Schauspiel,Mini Quiz-Show
CODE002,Batiken,JuHu – Challenge,Bloom it yourself - kreatives Nähen von Hand
CODE003,Gefühlchaos und Handlungskompetenzen,Spoken Word,Spiel & Spaß Olympiade
CODE004,Selbstverteidigung,Gefühlchaos und Handlungskompetenzen,HipHop Tanzworkshop
CODE005,Spoken Word,JuHu – Challenge,Schauspiel
CODE006,Spoken Word,Mini Quiz-Show,Social Media
CODE007,Selbstverteidigung,Bloom it yourself - kreatives Nähen von Hand,Social Media
CODE008,Batiken,Spoken Word,Social Media
CODE009,Gefühlchaos und Handlungskompetenzen,Spiel & Spaß Olympiade,Graffiti
CODE010,Batiken,HipHop Tanzworkshop,Gefühlchaos und Handlungskompetenzen
CODE011,Batiken,Gefühlchaos und Handlungskompetenzen,Spoken Word
CODE012,Spoken Word,Gefühlchaos und Handlungskompetenzen,Batiken
CODE013,Selbstverteidigung,Mini Quiz-Show,Schauspiel
CODE014,Spoken Word,Graffiti,Spiel & Spaß Olympiade
CODE015,Batiken,Bloom it yourself - kreatives Nähen von Hand,Graffiti
CODE016,Batiken,Social Media,HipHop Tanzworkshop
CODE017,Gefühlchaos und Handlungskompetenzen,Selbstverteidigung,Bloom it yourself - kreatives Nähen von Hand
CODE018,Batiken,Ultimate Frisbee,Gefühlchaos und Handlungskompetenzen
CODE019,Selbstverteidigung,Graffiti,Gefühlchaos und Handlungskompetenzen
CODE020,Spoken Word,Mini Quiz-Show,Schauspiel
CODE021,Gefühlchaos und Handlungskompetenzen,Mini Quiz-Show,Bloom it yourself - kreatives Nähen von Hand
CODE022,Gefühlchaos und Handlungskompetenzen,Graffiti,Schauspiel
CODE023,Gefühlchaos und Handlungskompetenzen,Spiel & Spaß Olympiade,Schauspiel
CODE024,Spoken Word,Schauspiel,Social Media
CODE025,Batiken,Spoken Word,Mini Quiz-Show
CODE026,Selbstverteidigung,Gefühlchaos und Handlungskompetenzen,Bloom it yourself - kreatives Nähen von Hand
CODE027,Gefühlchaos und Handlungskompetenzen,Social Media,Spoken Word
CODE028,Gefühlchaos und Handlungskompetenzen,Social Media,Spoken Word
CODE029,Spoken Word,JuHu – Challenge,Spiel & Spaß Olympiade
CODE030,Spoken Word,Mini Quiz-Show,Spiel & Spaß Olympiade
CODE031,Selbstverteidigung,Social Media,HipHop Tanzworkshop
